party_id,date,manifesto_id,md5sum_text,title
64421,200811,64421_200811,1def191dfe33533057e3fe66ce56cf4e,United future
64422,200811,64422_200811,e9a6ba317c5950c259c384a8f1b33ef7,A final word from Jim
64620,200811,64620_200811,76bb3d3418c0db6c03ee869fda21306a,Speech: ‘My key commitments to you.’
64901,200811,64901_200811,62de202003b9f4875ff5c9a639f46647,This election the Maori Party is asking an important question.
64110,201111,64110_201111,0ae42e8f34be63d0e43a66351626cbec,Green Party opening broadcast 2011
64320,201111,64320_201111,f5845e2875356b89ccc6b3c61250c5f6,Closing address of the New Zealand Labout Party
64420,201111,64420_201111,337c6a3cbb41e5653c1859bacfb67725,ACT: The right party for the John Key government
64421,201111,64421_201111,9d1f8a69d146870e8a38b6efd1372388,United Future 2011 (New Zealand)
64620,201111,64620_201111,6bfeddd18682673046bd12e1121d655f,Policy 2011
64621,201111,64621_201111,181e8951e8a9610ef9b59392f1f12add,For a fair go – campaign launch 2011
64901,201111,64901_201111,df0ea2ae1b9aa413c52c53dff098bb89,Our whanau; our future
64902,201111,64902_201111,8ed4c6b7ff0c1b619fe29a387c83e374,Mana Party policy statements
64110,201409,64110_201409,d7a23ad56c96592a224acd63f94d21d4,Green Party election priority
64320,201409,64320_201409,009b3dea106f9d5af76c764fb45f1dae,Vote positive. Labour´s plan for a better New Zealand
64420,201409,64420_201409,f49615c7633e1622f146893300cd2dd0,Act. Policies
64421,201409,64421_201409,0784eee7a481520ff19374b2f69a2434,United Future. The Manifesto
64620,201409,64620_201409,6ac7d2564e2f8ef27a497592206996f7,Policy 2014. Working for New Zealand
64621,201409,64621_201409,577467c9b4b3be37d57cf8c934028c2e,New Zealand First. Election Manifesto 2014
64901,201409,64901_201409,7b025abd009a92b241904ab11d050642,"Māori Party Kaupapa Here - Policy Direction for Election
2014"
72903,200301,72903_200301,75e5b43410851754c318333bfcff7629,Principles and Aims
181310,199404,181310_199404,62f2395bb386efe349b0e0fa2d5fc709,"A better life for all. Working together for jobs, peace and freedom"
181410,199404,181410_199404,dfaa7abdc4c943e7774d427f90341c1a,The Democratic Party 1994 election manifesto. Protecting you from the abuse of power
