party_id,election_date,language,source,has_eu_code,is_primary_doc,may_contradict_core_dataset,manifesto_id,md5sum_text,url_original,md5sum_original,annotations,handbook,is_copy_of,title
11810,197609,swedish,CEMP,FALSE,TRUE,FALSE,11810_197609,0e8aa652a88ce41f612faaca40e0b67e,,,False,,,Valmanifest
11220,197909,swedish,CEMP,FALSE,TRUE,FALSE,11220_197909,db772515ad0daf63a76afaf48b442b26,,,False,,,Program för 80-talet: Radikal arbetarpolitik. Vägen till socialism.
11320,197909,swedish,CEMP,FALSE,TRUE,FALSE,11320_197909,a46ae491c9d54c68d453d822bf7ac331,,,False,,,Valmanifest
11420,197909,swedish,CEMP,FALSE,TRUE,FALSE,11420_197909,98ddbe987a043b4b3b80c4cc1a36bfb1,,,False,,,Folkpartiets valmanifest 1979. Ansvar och samforstand
11620,197909,swedish,CEMP,FALSE,TRUE,FALSE,11620_197909,504a55b2e4ef1f33d80347f9d0aa0b37,,,False,,,Framtid i frihet. Valmanifest 1979
11810,197909,swedish,CEMP,FALSE,TRUE,FALSE,11810_197909,97ace7c14ce2edd4eab45ae61f955c61,,,False,,,Valmanifest
11220,198209,swedish,CEMP,FALSE,TRUE,FALSE,11220_198209,fec5a53be816a3c0663965fb477d0513,,,False,,,"Fred, arbete, social rattvisa"
11320,198209,swedish,CEMP,FALSE,TRUE,FALSE,11320_198209,acd26960886dfe7938e507531a03a0e3,,,False,,,Fred och arbeite. Valmanifest
11420,198209,swedish,CEMP,FALSE,TRUE,FALSE,11420_198209,7a10765251b9696db7e59a0f0e8a8dba,,,False,,,För frihet och rättvisa Valmanifest inför valet 1982
11620,198209,swedish,CEMP,FALSE,TRUE,FALSE,11620_198209,5253e00db58b0eaee382f68c3a5d05fa,,,False,,,Framtid i frihet
11810,198209,swedish,CEMP,FALSE,TRUE,FALSE,11810_198209,1fd4951d5fbcf4c9b32be8fccb542b27,,,False,,,Valmanifest
11220,198509,swedish,CEMP,FALSE,TRUE,FALSE,11220_198509,37fdbc7d52a8a015f583864632b2daeb,,,False,,,Politik för socialism på svenska
11320,198509,swedish,CEMP,FALSE,TRUE,FALSE,11320_198509,5020bbdf908d3f8cdeb63d2a39b978f0,,,False,,,En inbjudan till alla Väljare. Valmanifest
11420,198509,swedish,CEMP,FALSE,TRUE,FALSE,11420_198509,48ed0cceb43c7104b2366f49c31bdedb,,,False,,,Ny kurs för Sverige. Valmanifest inför valet 1985
11520,198509,,,,,,,,,,,,,Estimate
11620,198509,swedish,CEMP,FALSE,TRUE,FALSE,11620_198509,ab2a8b9ed1c4e251c70c15653d002515,,,False,,,Framtid i frihet. Valmanifest 1985
11810,198509,swedish,CEMP,FALSE,TRUE,FALSE,11810_198509,356bd19d00e24233097e41b40b166325,,,False,,,Med centern för framtiden
11110,198809,swedish,CEMP,FALSE,TRUE,FALSE,11110_198809,9dcf979792c9e65100dac4948cbbebfc,,,False,,,Valmanifest
11220,198809,swedish,CEMP,FALSE,TRUE,FALSE,11220_198809,0a9f9f9bea8b4f67ff49bca348c24058,,,False,,,Till Sverige 1988. Vänsterpartiet kommunisterna valmanifest
11320,198809,swedish,CEMP,FALSE,TRUE,FALSE,11320_198809,6efa9e3ce22f85f602e038d5091bc0dc,,,False,,,Valmanifest
11420,198809,swedish,CEMP,FALSE,TRUE,FALSE,11420_198809,d9ea40b86ed8431275a9f082404bfd9b,,,False,,,Valmanifest 88. Det behövs både hjärta och hjärna i politiken
11620,198809,swedish,CEMP,FALSE,TRUE,FALSE,11620_198809,8970b7545bf5ad1c2e3131f3a35d7270,,,False,,,Valmanifest 1988. Framtidens idéer. 20 punkter för ett bättre Sverige
11810,198809,swedish,CEMP,FALSE,TRUE,FALSE,11810_198809,53993bc4e1d32e91f5dcd4aad7bf89d2,,,False,,,Valprogram 1989-1991
11110,199109,swedish,CEMP,FALSE,TRUE,FALSE,11110_199109,1b24e16fa913ecfacf53e176dc37dece,,,False,,,Valmanifest ‘91
11220,199109,swedish,CEMP,FALSE,TRUE,FALSE,11220_199109,621b9b2340376250ec69aaae7460cf1b,,,False,,,Arbete - Rättvisa - Demokrati - Grön Miljo
11320,199109,swedish,CEMP,FALSE,TRUE,FALSE,11320_199109,03dad7c4a959ef7ea8d9a708798808dd,,,False,,,Valmanifest
11420,199109,swedish,CEMP,FALSE,TRUE,FALSE,11420_199109,8ee05149b40e5df99fb97a68ba5d8478,,,False,,,Det nya Sverige. Ett liberalare Sverige
11520,199109,swedish,CEMP,FALSE,TRUE,FALSE,11520_199109,ce854ae060291b7e1458662d93fc4441,,,False,,,För gemenskap och människovärde. Valmanifest fran kristdemokraterna - mandatperioden 1991-1994
11620,199109,swedish,CEMP,FALSE,TRUE,FALSE,11620_199109,b11716b6466182eb259c438b09d8a488,,,False,,,Framtidens idéer. Det bästa för Sverige. Valmanifest 1991
11810,199109,swedish,CEMP,FALSE,TRUE,FALSE,11810_199109,e944d243f4ced075aa85ab8966dcff91,,,False,,,I hela folkets intresse. Centerns valprogram 1992 -1994
11951,199109,swedish,CEMP,FALSE,TRUE,FALSE,11951_199109,d70a6f8fc9ef2df3f1504bcc3c8f37ce,,,False,,,"Demokrati: från grekiskan; demos-folket, kratein-härska, styra: folkstyre. I eg. mening; den yttersta makten tillhör medborgarna i förening"
11110,199409,swedish,CEMP,FALSE,TRUE,FALSE,11110_199409,b4bec43a1c93166420a6b9b4c7364e71,,,False,,,Valmanifest
11220,199409,swedish,CEMP,FALSE,TRUE,FALSE,11220_199409,b7f8cc7fb18f40eff15219ec84fbbbbf,,,False,,,Vänsterpartiet inför valet 1994
11320,199409,swedish,CEMP,FALSE,TRUE,FALSE,11320_199409,561380b92c37f9db852bfbab727531a2,,,False,,,Sverige behöver en ny färdriktning
11420,199409,swedish,CEMP,FALSE,TRUE,FALSE,11420_199409,0fb1044e7cfa3f0dbdd3be1e9d334ff7,,,False,,,Liberalt valprogram 1994
11520,199409,swedish,CEMP,FALSE,TRUE,FALSE,11520_199409,a1d8b3f440485f626ddaf14e5a585a8c,,,False,,,För en medmänskligare politik
11620,199409,swedish,CEMP,FALSE,TRUE,FALSE,11620_199409,a0e97e71172bb63d56d30285c7649f3a,,,False,,,Framtidens idéer - Det bästa för Sverige. 1994 väljer Sverige väg för framtiden.
11810,199409,swedish,CEMP,FALSE,TRUE,FALSE,11810_199409,159ea2a44161ae99536c27e7f6c6ac85,,,False,,,På grön kvist.  Valprogram för Centerpartiet inför 1994 års val
11110,199809,swedish,CEMP,FALSE,TRUE,FALSE,11110_199809,f94ea362f77faab8155af423eb763c4f,,,False,,,Valmanifest 98
11220,199809,swedish,CEMP,FALSE,TRUE,FALSE,11220_199809,ec903ebd01bdc558307ba7257bcc067f,,,False,,,Val 1998
11320,199809,swedish,CEMP,FALSE,TRUE,FALSE,11320_199809,665bbb52c6a97d5cfa08cc33500c5a2b,,,False,,,Med omtanke om framtiden
11420,199809,swedish,CEMP,FALSE,TRUE,FALSE,11420_199809,0db048557aec4ef8e9f16544ba8bec4a,,,False,,,Mänskligare Sverige. Folkpartiets valmanifest 1998
11520,199809,swedish,CEMP,FALSE,TRUE,FALSE,11520_199809,fd176fda756c9b47b84387e0656764f2,,,False,,,Valmanifest - För ett tryggare och friare Sverige
11620,199809,swedish,CEMP,FALSE,TRUE,FALSE,11620_199809,641741b896d19c8d9e2df9297268c8f6,,,False,,,Gör det möjligt för Sverige
11810,199809,swedish,CEMP,FALSE,TRUE,FALSE,11810_199809,38a1def2cac36dabb0d8e5033daaea68,,,False,,,Nya mitten - tillsammans lyfter vi Sverige. Valprogram för Centerpartiet i 1998 års val
11110,200209,swedish,CEMP,FALSE,TRUE,FALSE,11110_200209,9d176ee13c8234c4577d6b0e6f343547,,,False,,,Grönt Valmanifest 2002. För en långsiktigt hållbar utveckling
11220,200209,swedish,CEMP,FALSE,TRUE,FALSE,11220_200209,a0c5b54bbd099365fa89cba834a408c4,,,False,,,Vänsterpartiets valplattform. Uppdrag Rättvisa
11320,200209,swedish,CEMP,FALSE,TRUE,FALSE,11320_200209,ab19ccf233ad607b4e3b99e4de4ddb52,,,False,,,Valmanifest. Tillsammans för Trygghet och Utveckling
11420,200209,swedish,CEMP,FALSE,TRUE,FALSE,11420_200209,ad83721fd541c168eeb0a2b481f0b556,,,False,,,Ett parti som vågar utmana. Folkepartiet liberalernas valmanifest inför valet 2002
11520,200209,swedish,CEMP,FALSE,TRUE,FALSE,11520_200209,39185a0bf9dc9df22c3c1324af089df3,,,False,,,Tid för förändring. Tid för handling. Valmanifest
11620,200209,swedish,CEMP,FALSE,TRUE,FALSE,11620_200209,0782a353aa54faa52353a68794c11cf9,,,False,,,Rösta på ditt Sverige. Valmanifest 2002
11810,200209,swedish,CEMP,FALSE,TRUE,FALSE,11810_200209,6432be61d8729e87d57baa388c9f0216,,,False,,,Ta vara på Sveriges möjligheter. Lika villkor Valmanifest 2002
11110,200609,swedish,MARPOR,FALSE,TRUE,FALSE,11110_200609,ed9d576eb4a1868c4a9e21ae5eaa316f,/down/originals/11110_2006.pdf,CURRENTLY_UNAVAILABLE,True,3,,Valmanifest 2006. Grönare Sverige! – för ökad livskvalitet.
11220,200609,swedish,MARPOR,FALSE,TRUE,FALSE,11220_200609,1525589fac29d7c6a8288e9dfe63d178,/down/originals/11220_2006.pdf,CURRENTLY_UNAVAILABLE,True,3,,Arbete Demokrati och Rättvisa. Vänsterpartiets valplattform 2006
11320,200609,swedish,MARPOR,FALSE,TRUE,FALSE,11320_200609,a5d620b7208f26617c144f43543d3849,/down/originals/11320_2006.pdf,CURRENTLY_UNAVAILABLE,True,3,,Alla ska med. Valmanifest 2006
11420,200609,swedish,MARPOR,FALSE,TRUE,FALSE,11420_200609,f9353e6cbdf716f951497f9519037f46,/down/originals/11420_2006.pdf,CURRENTLY_UNAVAILABLE,True,3,,En socialliberal modell i globaliseringens tid. Folkpartiets valmanifest 2006
11520,200609,swedish,MARPOR,FALSE,TRUE,FALSE,11520_200609,58aca234a941d352855a42a22fe77f2b,/down/originals/11520_2006.pdf,CURRENTLY_UNAVAILABLE,True,3,,Garanti-bevis till Dig som väljare inför valet 2006
11620,200609,swedish,MARPOR,FALSE,TRUE,FALSE,11620_200609,61504193260fc82af8e06f68b3bda603,/down/originals/2017-1/11620_2006.pdf,CURRENTLY_UNAVAILABLE,True,3,,Fler i arbete – mer att dela på. [Manifesto of The Alliance]
11810,200609,swedish,MARPOR,FALSE,TRUE,FALSE,11810_200609,3dd8bef16621b38dbced672284007f0f,/down/originals/11810_2006.pdf,CURRENTLY_UNAVAILABLE,True,3,,"Kontrakt. För fler jobb, förnyad välfärd och god miljö. Centerpartiets valmanifest 2006"
11110,201009,swedish,MARPOR,FALSE,TRUE,FALSE,11110_201009,f8d7318db573a6a6361e8d7f94a50ab6,/down/originals/11110_2010.pdf,CURRENTLY_UNAVAILABLE,True,3,,"Framtiden är här -  valmanifest för en grön omställning som ger nya jobb, en nödvändig klimatpolitik och global solidaritet"
11220,201009,swedish,MARPOR,FALSE,TRUE,FALSE,11220_201009,90bb101af5d314dede2ba2e5a88337d1,/down/originals/11220_2010.pdf,CURRENTLY_UNAVAILABLE,True,3,,Gemensam trygghet individens frihet en hållbar värld. Vänsterpartiet Valplattform 2010
11320,201009,swedish,MARPOR,FALSE,TRUE,FALSE,11320_201009,db83ba730dfa002100de9bfe1183364b,/down/originals/11320_2010.pdf,CURRENTLY_UNAVAILABLE,True,3,,Fler jobb och nya mögligheter. Vägval 2010
11420,201009,swedish,MARPOR,FALSE,TRUE,FALSE,11420_201009,32b452087979210e3f4ddb0138939d89,/down/originals/11420_2010.pdf,CURRENTLY_UNAVAILABLE,True,3,,Folkpartiet liberalernas valmanifest 2010. Utmaningar efter valsegern
11520,201009,swedish,MARPOR,FALSE,TRUE,FALSE,11520_201009,3c2bade073e553e8f02b47bf51600f0a,,,True,3,,Ett mänskligare Sverige
11620,201009,swedish,MARPOR,FALSE,TRUE,FALSE,11620_201009,0dd411066803f685ebf3a314ff6fcc99,/down/originals/2017-1/11620_2010.pdf,CURRENTLY_UNAVAILABLE,True,3,,Jobbmanifestet. Valmanifest 2010-2014 [Job-Manifesto of The Alliance]
11710,201009,swedish,MARPOR,FALSE,TRUE,FALSE,11710_201009,d1afb7725ee1519cae313508b13a1941,/down/originals/11710_2010.pdf,CURRENTLY_UNAVAILABLE,True,3,,99 förslag för ett bättre Sverige. Sverigedemokraternas kontrakt med väljarna 2010-2014
11810,201009,swedish,MARPOR,FALSE,TRUE,FALSE,11810_201009,87c1b9e3b706d6412d1b7c352aa285d9,/down/originals/11810_2010.pdf,CURRENTLY_UNAVAILABLE,True,3,,"Framtiden tillhör dem som vågar. Fler jobb i nya och växande företag, förnyad välfärd och god miljö. Valmanifest för Centerpartiet mandatperioden 2010-2014"
11110,201409,swedish,MARPOR,false,true,false,11110_201409,91274d4a0f55e1e476dfa5458d24c9fe,/down/originals/2017-2/11110_2014.pdf,CURRENTLY_UNAVAILABLE,True,5,,Valmanifest. Dags för en varmare politik!
11220,201409,swedish,MARPOR,false,true,false,11220_201409,15de643155b5c740bd472cb72eab99b8,/down/originals/2017-2/11220_2014.pdf,CURRENTLY_UNAVAILABLE,True,5,,Vänsterpartiets valplattform för riksdagsvalet 2014
11320,201409,swedish,MARPOR,false,true,false,11320_201409,86fa870c8d802459871ac659e1ee5346,/down/originals/2017-2/11320_2014.pdf,CURRENTLY_UNAVAILABLE,True,5,,"Kära framtid, valmanifest för ett bättre Sverige. Fär alla."
11420,201409,swedish,MARPOR,false,true,false,11420_201409,e51d74ceb1660bc0812d73216a6b46e1,/down/originals/2017-2/11420_2014.pdf,CURRENTLY_UNAVAILABLE,True,5,,Rösta för skolan. Folkpartiet liberalernas valmanifest 2014
11520,201409,swedish,MARPOR,false,true,false,11520_201409,8e088e19901fa6ad96add3b6a0d32b8b,/down/originals/2017-2/11520_2014.pdf,CURRENTLY_UNAVAILABLE,True,5,,Frihet och gemenskap. Kristdemokraternas valmanifest 2014
11620,201409,swedish,MARPOR,false,true,false,11620_201409,56d4c8dcf0217061e6087b67dd6cfa7f,/down/originals/2017-2/11620_2014.pdf,CURRENTLY_UNAVAILABLE,True,5,,Vi Bygger Sverige. Alliansens Valmanifest 2014-2018
